metabolite                                                                                                                                    mean abs shap-value
Trans-Dec-2-enoyl-CoA                                                                                                                         0.001342
8-Amino-7-oxononanoate                                                                                                                        0.001325
IMP C10H11N4O8P                                                                                                                               0.001281
Octanoate (n-C8:0)                                                                                                                            0.001268
Phenylacetic acid&4-Hydroxyphenylacetaldehyde                                                                                                 0.001238
Tetrahydromonapterin                                                                                                                          0.001235
Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)                                                                                        0.001227
Phosphatidylglycerol (ditetradecanoyl, n-C14:0)                                                                                               0.001217
Ornithine                                                                                                                                     0.001210
4-Methyl-5-(2-phosphoethyl)-thiazole                                                                                                          0.001193
L-Malate                                                                                                                                      0.001182
Guanosine                                                                                                                                     0.001166
L-Prolinylglycine                                                                                                                             0.001155
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate                                                                       0.001140
N-Carbamoyl-L-aspartate                                                                                                                       0.001136
C'-(3-Indolyl)-glycerol 3-phosphate                                                                                                           0.001110
Hydroquinone                                                                                                                                  0.001102
Tetradecenoate (n-C14:1)                                                                                                                      0.001088
Indole                                                                                                                                        0.001073
L-Histidinol phosphate                                                                                                                        0.001056
DUMP C9H11N2O8P                                                                                                                               0.001041
(R)-S-Lactoylglutathione                                                                                                                      0.001000
(S)-3-Hydroxyoctadecanoyl-CoA                                                                                                                 0.000976
Inosine                                                                                                                                       0.000947
2-Dehydro-3-deoxy-D-galactonate&2-Dehydro-3-deoxy-D-gluconate                                                                                 0.000940
L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate                                                                                           0.000936
Propanal                                                                                                                                      0.000929
Betaine aldehyde                                                                                                                              0.000892
Mercaptopyruvate                                                                                                                              0.000877
Methylglyoxal                                                                                                                                 0.000871
ADP-D-glycero-D-manno-heptose                                                                                                                 0.000849
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)&2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)                                                   0.000834
L-Leucine&L-Isoleucine                                                                                                                        0.000831
Glyoxylate                                                                                                                                    0.000813
Sucrose C12H22O11&Melibiose C12H22O11&Lactose C12H22O11&Trehalose&Maltose C12H22O11                                                           0.000778
L-Homocysteine                                                                                                                                0.000776
Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)                                                                                           0.000724
L-Aspartate 4-semialdehyde&L-2-Amino-3-oxobutanoate                                                                                           0.000704
L-Asparagine                                                                                                                                  0.000699
D-Glycero-D-manno-heptose 1-phosphate&D-Glycero-D-manno-heptose 7-phosphate&Sedoheptulose 7-phosphate                                         0.000695
L-Phenylalanine                                                                                                                               0.000675
P-Cresol                                                                                                                                      0.000671
Octanoate (protein bound)                                                                                                                     0.000655
D-Xylulose&L-Lyxose&D-Ribose&L-Ribulose&L-Arabinose&(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran&D-Xylose                             0.000643
3-Dehydroshikimate                                                                                                                            0.000637
Octadecenoate (n-C18:1)                                                                                                                       0.000612
2-Oxoglutarate                                                                                                                                0.000601
1,6-anhydrous-N-Acetylmuramate                                                                                                                0.000575
Reduced glutathione                                                                                                                           0.000557
AMP C10H12N5O7P&3  AMP C10H12N5O7P&DGMP C10H12N5O7P                                                                                           0.000552
Phosphatidylglycerol (dihexadecanoyl, n-C16:0)                                                                                                0.000541
3-Deoxy-D-manno-2-octulosonate                                                                                                                0.000526
N1-(5-Phospho-D-ribosyl)glycinamide                                                                                                           0.000507
2-Phosphoglycolate                                                                                                                            0.000497
Gamma-glutamyl-gamma-butyraldehyde                                                                                                            0.000491
DTDP C10H13N2O11P2                                                                                                                            0.000490
Gamma-butyrobetaine                                                                                                                           0.000488
2-C-methyl-D-erythritol 4-phosphate                                                                                                           0.000482
Glycine                                                                                                                                       0.000449
L-Proline                                                                                                                                     0.000448
